distance_1,distance_10,distance_11,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,eta_1,eta_10,eta_11,eta_2,eta_3,eta_4,eta_5,eta_6,eta_7,eta_8,eta_9,plan_time,price_1,price_10,price_11,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,sessionID,system_recommended_mode
28788.0,28310.0,,,24421.0,24421.0,,,33441.0,,31884.0,6330.0,2636.0,,,1738.0,1798.0,,,3775.0,,3535.0,2018-10-04 17:51:44,300.0,3400.0,,,,6500.0,,,3000.0,,2800.0,274552,10
24710.0,,,,25328.0,25328.0,,,28390.0,,,6804.0,,,,4044.0,4224.0,,,5417.0,,,2018-11-07 08:52:28,600.0,,,,,9900.0,,,800.0,,,3239798,7
15667.0,,,,15942.0,15942.0,,,16440.0,15679.0,16076.0,5017.0,,,,2424.0,2544.0,,,4231.0,4103.0,3173.0,2018-11-03 09:10:11,400.0,,,,,4700.0,,,900.0,2300.0,500.0,1844306,7
2012.0,,,2562.0,1940.0,1940.0,1673.0,1900.0,,,,1774.0,,,1419.0,426.0,606.0,1532.0,574.0,,,,2018-11-22 10:02:38,200.0,,,300.0,,1300.0,,,,,,1239773,2
,,,,643.0,,339.0,438.0,,,,,,,,167.0,,289.0,129.0,,,,2018-11-25 10:34:01,,,,,,,,,,,,3244003,5
25168.0,,27457.0,29496.0,24600.0,24600.0,,,,,,4949.0,,4762.0,5951.0,2268.0,2508.0,,,,,,2018-10-03 18:44:58,600.0,,800.0,600.0,,6800.0,,,,,,1576077,11
,,,23906.0,23564.0,23564.0,,,,,21160.0,,,,4086.0,2846.0,3026.0,,,,,3906.0,2018-11-26 15:40:32,,,,500.0,,6200.0,,,,,500.0,850932,2
5920.0,,,,5894.0,5894.0,,5441.0,,,,2639.0,,,,688.0,928.0,,1644.0,,,,2018-10-24 12:19:00,200.0,,,,,1500.0,,,,,,943909,1
80351.0,,,,79729.0,79729.0,,,77508.0,,,11071.0,,,,6600.0,6900.0,,,9447.0,,,2018-11-25 09:55:30,1700.0,,,,,23600.0,,,1900.0,,,3257722,7
,,,,44670.0,44670.0,,,51844.0,,49569.0,,,,,5330.0,5450.0,,,8779.0,,6518.0,2018-11-16 16:43:04,,,,,,16400.0,,,2000.0,,700.0,3078360,3
,,,13596.0,14715.0,14715.0,,,,,,,,,2330.0,2418.0,2538.0,,,,,,2018-11-22 15:48:58,,,,500.0,,3800.0,,,,,,1237922,2
52579.0,47662.0,,,44927.0,44927.0,,,53528.0,,,8703.0,5305.0,,,3680.0,3680.0,,,6323.0,,,2018-10-07 11:37:16,3000.0,7400.0,,,,13900.0,,,3300.0,,,2492641,7
25198.0,26036.0,,24597.0,26965.0,26965.0,,,,,,8231.0,4243.0,,4241.0,5105.0,5225.0,,,,,,2018-10-29 17:50:46,600.0,3300.0,,600.0,,11700.0,,,,,,823595,2
,,,,56686.0,56686.0,,,71836.0,,,,,,,4787.0,4787.0,,,9642.0,,,2018-10-25 16:10:28,,,,,,18800.0,,,1300.0,,,2325831,7
,16200.0,,14693.0,17042.0,17042.0,,,,,,,2843.0,,2506.0,2472.0,2772.0,,,,,,2018-10-27 20:25:58,,1800.0,,500.0,,4300.0,,,,,,1478622,2
16753.0,,,25296.0,13164.0,13164.0,,,,,,5437.0,,,3841.0,1475.0,1775.0,,,,,,2018-11-10 13:42:13,400.0,,,600.0,,3800.0,,,,,,29683,2
10164.0,,,,6443.0,6443.0,,6495.0,7284.0,,12146.0,3523.0,,,,1027.0,1207.0,,1962.0,2747.0,,2343.0,2018-11-28 16:24:37,200.0,,,,,2100.0,,,500.0,,400.0,1553516,7
,,,8707.0,8389.0,8389.0,,8491.0,,,8707.0,,,,1996.0,1634.0,1874.0,,2569.0,,,1897.0,2018-10-21 14:42:30,,,,400.0,,3300.0,,,,,400.0,2686202,9
5279.0,,,,5138.0,5138.0,4060.0,5084.0,,,,2636.0,,,,1134.0,1314.0,3687.0,1539.0,,,,2018-11-23 18:50:04,200.0,,,,,2300.0,,,,,,537922,1
,12758.0,,11312.0,11135.0,11135.0,,9092.0,11856.0,,11052.0,,2566.0,,3035.0,2214.0,2394.0,,2745.0,3355.0,,2565.0,2018-11-11 18:34:52,,1700.0,,400.0,,3500.0,,,600.0,,400.0,574087,9
,,,11896.0,9830.0,9830.0,,9434.0,,,11896.0,,,,2411.0,2667.0,2967.0,,2851.0,,,2093.0,2018-10-30 10:29:01,,,,400.0,,3400.0,,,,,400.0,2796680,9
4553.0,,,,2329.0,2329.0,2085.0,1493.0,,,,2745.0,,,,770.0,1010.0,1934.0,449.0,,,,2018-10-21 11:35:49,200.0,,,,,1300.0,,,,,,2705416,6
,,,8620.0,7273.0,7273.0,,6981.0,,,,,,,1832.0,1597.0,1837.0,,2107.0,,,,2018-11-01 18:25:05,,,,400.0,,3100.0,,,,,,2616083,2
,,,,2231.0,2231.0,1074.0,1399.0,,,,,,,,648.0,948.0,919.0,422.0,,,,2018-10-16 20:59:08,,,,,,1300.0,,,,,,3337654,5
7843.0,,,,9634.0,9634.0,,6247.0,6380.0,,,2481.0,,,,1418.0,1658.0,,1888.0,2410.0,,,2018-10-21 13:47:38,200.0,,,,,3000.0,,,500.0,,,2707344,7
22694.0,,,,19241.0,19241.0,,,24239.0,,22960.0,5950.0,,,,1778.0,2018.0,,,5186.0,,3958.0,2018-10-04 12:51:05,600.0,,,,,5400.0,,,700.0,,500.0,333738,9
4124.0,,,5022.0,5583.0,5583.0,3706.0,3688.0,,,5199.0,1528.0,,,1726.0,841.0,1141.0,3301.0,1111.0,,,1535.0,2018-10-05 17:00:53,200.0,,,300.0,,1900.0,,,,,300.0,400854,1
5337.0,,,,4954.0,4954.0,4832.0,4834.0,,,,3455.0,,,,773.0,773.0,4265.0,1457.0,,,,2018-10-24 11:43:09,200.0,,,,,1500.0,,,,,,956146,1
1926.0,,,,1728.0,1728.0,1501.0,1732.0,,,,1176.0,,,,377.0,677.0,1315.0,522.0,,,,2018-10-05 17:24:57,200.0,,,,,1300.0,,,,,,416247,1
12733.0,,,10511.0,9004.0,9004.0,,,,,,6435.0,,,4461.0,1914.0,2154.0,,,,,,2018-10-31 08:46:23,400.0,,,400.0,,4100.0,,,,,,85299,2
,21780.0,,17556.0,19620.0,19620.0,,,17112.0,,17922.0,,3358.0,,3988.0,2379.0,2619.0,,,3982.0,,3365.0,2018-10-01 14:41:00,,3300.0,,500.0,,5700.0,,,700.0,,500.0,784241,9
,,,,78574.0,78574.0,,,96458.0,,,,,,,5118.0,5418.0,,,8773.0,,,2018-11-24 17:39:47,,,,,,21300.0,,,,,,3357856,7
,,,,53350.0,53350.0,,,57554.0,,,,,,,5828.0,5948.0,,,9179.0,,,2018-11-20 13:21:01,,,,,,15600.0,,,900.0,,,2190644,7
1881.0,,,,1827.0,1827.0,1829.0,1829.0,,,,1536.0,,,,318.0,318.0,1637.0,551.0,,,,2018-10-23 22:13:15,200.0,,,,,1300.0,,,,,,1681914,3
,,,16935.0,16986.0,16986.0,,,17929.0,,17010.0,,,,3198.0,2379.0,2559.0,,,4459.0,,3151.0,2018-11-17 21:20:29,,,,500.0,,6000.0,,,600.0,,500.0,2876633,2
,,,30000.0,37359.0,37359.0,,,,,,,,,3702.0,4995.0,5055.0,,,,,,2018-10-28 08:45:48,,,,600.0,,11400.0,,,,,,661297,2
2786.0,,,,2881.0,2881.0,2220.0,2226.0,,,,2150.0,,,,968.0,1268.0,2060.0,670.0,,,,2018-11-14 15:46:16,200.0,,,,,1500.0,,,,,,2421449,1
58996.0,,57023.0,,55052.0,55052.0,,,,,,9214.0,,8433.0,,3699.0,3939.0,,,,,,2018-10-05 22:13:13,1300.0,,1100.0,,,16900.0,,,,,,354088,4
14696.0,,,14432.0,16908.0,16908.0,,,,,15226.0,4818.0,,,3223.0,2281.0,2461.0,,,,,3074.0,2018-11-20 08:28:18,500.0,,,500.0,,5300.0,,,,,500.0,2212194,2
,,,32229.0,25320.0,25320.0,,,,,32323.0,,,,3778.0,3876.0,4116.0,,,,,3640.0,2018-10-11 09:16:32,,,,600.0,,8800.0,,,,,600.0,1957905,9
,,,,447.0,,440.0,440.0,,,,,,,,151.0,,377.0,132.0,,,,2018-11-10 19:12:02,,,,,,,,,,,,22307,5
3688.0,,,4005.0,3740.0,3740.0,2999.0,3736.0,,,,2347.0,,,1571.0,699.0,819.0,2770.0,1128.0,,,,2018-10-30 17:34:55,200.0,,,300.0,,1800.0,,,,,,2818406,2
,,,23854.0,22324.0,22324.0,,,26935.0,,,,,,6838.0,3786.0,3906.0,,,7863.0,,,2018-10-25 08:07:43,,,,500.0,,16800.0,,,900.0,,,2319412,2
45234.0,,,,44475.0,44475.0,,,47960.0,,,8587.0,,,,3091.0,3091.0,,,7582.0,,,2018-11-09 05:23:48,1000.0,,,,,13700.0,,,1200.0,,,494874,7
5193.0,,,4551.0,3840.0,3840.0,4268.0,4268.0,,,,3326.0,,,2088.0,1504.0,1804.0,3883.0,1288.0,,,,2018-11-15 18:33:35,400.0,,,300.0,,2400.0,,,,,,679054,2
,,,11114.0,,,,,12647.0,,,,,,2265.0,,,,,3375.0,,,2018-11-26 10:43:53,,,,400.0,,,,,600.0,,,869775,2
7639.0,,,,7525.0,7525.0,,6984.0,,,,2925.0,,,,982.0,1282.0,,2111.0,,,,2018-11-08 18:02:30,200.0,,,,,2800.0,,,,,,1066805,1
23210.0,25001.0,,,22232.0,22232.0,,,25324.0,,23346.0,4907.0,3739.0,,,2159.0,2339.0,,,4437.0,,3669.0,2018-10-23 18:33:35,700.0,2400.0,,,,6900.0,,,800.0,,500.0,1699215,9
3006.0,,,,2508.0,2508.0,1260.0,2419.0,,,,1846.0,,,,371.0,551.0,1079.0,729.0,,,,2018-10-19 19:43:35,200.0,,,,,1300.0,,,,,,2126113,4
,,,,36503.0,,,,45862.0,,,,,,,3595.0,,,,6574.0,,,2018-10-19 12:58:46,,,,,,,,,1100.0,,,2166021,7
21840.0,,19633.0,,17130.0,17130.0,,,19586.0,,,4592.0,,3947.0,,1792.0,1972.0,,,4257.0,,,2018-10-17 11:53:11,500.0,,700.0,,,4300.0,,,700.0,,,230770,11
12410.0,,,,9595.0,9595.0,,9161.0,,,,3337.0,,,,1271.0,1391.0,,2771.0,,,,2018-11-30 20:45:10,300.0,,,,,3100.0,,,,,,2429315,1
28843.0,,,,27172.0,27172.0,,,29181.0,,,5690.0,,,,2271.0,2511.0,,,6019.0,,,2018-11-16 23:05:31,600.0,,,,,8700.0,,,900.0,,,3055598,3
6228.0,,,,5683.0,5683.0,,5859.0,,,,2657.0,,,,1081.0,1261.0,,1772.0,,,,2018-11-13 13:42:57,200.0,,,,,1700.0,,,,,,1919407,1
63718.0,,,,67173.0,67173.0,,,74321.0,69272.0,,11625.0,,,,4173.0,4353.0,,,9797.0,6377.0,,2018-11-25 08:45:37,1400.0,,,,,18800.0,,,,3800.0,,3273812,8
,18388.0,,15458.0,13978.0,13978.0,,,,,,,2735.0,,2889.0,2496.0,2736.0,,,,,,2018-11-09 07:36:48,,1900.0,,500.0,,6100.0,,,,,,473515,2
,,,,11217.0,11217.0,,,8764.0,,7794.0,,,,,2471.0,2651.0,,,2575.0,,1590.0,2018-10-27 15:06:22,,,,,,4000.0,,,500.0,,300.0,1463990,9
83494.0,,,,69681.0,69681.0,,,,,,11174.0,,,,3901.0,4081.0,,,,,,2018-10-18 11:45:35,1900.0,,,,,18500.0,,,,,,2755550,3
33004.0,36741.0,,,31281.0,31281.0,,,36983.0,,,9555.0,4738.0,,,2659.0,2959.0,,,6445.0,,,2018-11-16 11:15:52,800.0,3200.0,,,,8200.0,,,800.0,,,3086770,7
10181.0,,,,8343.0,8343.0,,7811.0,,,,3850.0,,,,1786.0,1966.0,,2360.0,,,,2018-10-18 09:22:04,200.0,,,,,3400.0,,,,,,2736185,1
,29242.0,,27618.0,25687.0,25687.0,,,27862.0,,27210.0,,4173.0,,4482.0,4151.0,4331.0,,,5051.0,,4256.0,2018-11-02 17:23:40,,5700.0,,600.0,,11300.0,,,700.0,,600.0,2987727,9
,,,22548.0,23770.0,23770.0,,,,,,,,,3140.0,3201.0,3501.0,,,,,,2018-10-01 11:08:05,,,,500.0,,6900.0,,,,,,732512,2
,,,,45958.0,45958.0,,,46986.0,,50223.0,,,,,3559.0,3799.0,,,7743.0,,7034.0,2018-10-13 08:27:48,,,,,,13300.0,,,900.0,,700.0,2285422,3
,18876.0,,,17692.0,17692.0,,,18999.0,,,,2734.0,,,2653.0,2773.0,,,3799.0,,,2018-11-21 10:37:55,,2300.0,,,,4800.0,,,700.0,,,3164846,7
46947.0,,,,40930.0,40930.0,,,,,,9454.0,,,,3065.0,3185.0,,,,,,2018-11-01 13:27:13,1000.0,,,,,11100.0,,,,,,2601482,1
33056.0,,,,29884.0,29884.0,,,,,,6586.0,,,,2032.0,2032.0,,,,,,2018-11-08 22:30:33,1900.0,,,,,9600.0,,,,,,1083730,3
,,,14467.0,14257.0,14257.0,,,,,,,,,2416.0,2056.0,2236.0,,,,,,2018-10-24 11:02:05,,,,500.0,,4300.0,,,,,,948483,2
26537.0,,26518.0,,21955.0,21955.0,,,26473.0,,,6864.0,,5821.0,,1881.0,2121.0,,,6074.0,,,2018-11-26 08:14:50,1000.0,,1000.0,,,6800.0,,,1000.0,,,857254,3
6260.0,,,,5385.0,5385.0,4281.0,4281.0,,,,3207.0,,,,786.0,1026.0,3768.0,1293.0,,,,2018-10-11 22:29:36,400.0,,,,,1700.0,,,,,,1972860,4
3021.0,,,,2705.0,2705.0,2418.0,2560.0,,,,2150.0,,,,967.0,1147.0,2201.0,773.0,,,,2018-11-01 16:32:46,200.0,,,,,1300.0,,,,,,2587731,1
25133.0,24086.0,,,24083.0,24083.0,,,24269.0,,,5883.0,2889.0,,,2413.0,2533.0,,,4182.0,,,2018-10-07 11:56:26,600.0,2800.0,,,,6600.0,,,700.0,,,2501222,7
,,,,40196.0,40196.0,,,67960.0,,,,,,,2797.0,2917.0,,,9233.0,,,2018-11-20 18:45:37,,,,,,12400.0,,,1200.0,,,2211841,7
12924.0,,,,13239.0,13239.0,,,13528.0,,,4059.0,,,,1389.0,1629.0,,,3904.0,,,2018-11-27 09:41:32,400.0,,,,,3800.0,,,500.0,,,1038445,7
31665.0,39192.0,,,32061.0,32061.0,,,39121.0,,38926.0,6805.0,5565.0,,,3255.0,3495.0,,,5965.0,,5629.0,2018-10-31 12:25:59,700.0,3100.0,,,,8600.0,,,900.0,,700.0,93786,10
1179.0,,,,1362.0,,807.0,1164.0,,,,1354.0,,,,429.0,,718.0,350.0,,,,2018-11-13 16:23:24,200.0,,,,,,,,,,,1921849,5
31591.0,32282.0,,28850.0,28569.0,28569.0,,,,,,6967.0,4160.0,,5577.0,2931.0,3171.0,,,,,,2018-10-17 10:59:46,600.0,1900.0,,600.0,,7600.0,,,,,,240392,10
,,,,101478.0,101478.0,,,128302.0,,,,,,,7278.0,7578.0,,,14662.0,,,2018-10-03 19:20:06,,,,,,27800.0,,,,,,1605830,3
11090.0,12610.0,,12597.0,14198.0,14198.0,,,,,12614.0,5244.0,2772.0,,3130.0,2401.0,2641.0,,,,,2701.0,2018-10-22 17:28:08,400.0,2200.0,,400.0,,4600.0,,,,,400.0,3026304,9
,13666.0,,10934.0,13237.0,13237.0,,9224.0,11071.0,,10815.0,,2035.0,,2063.0,2904.0,3084.0,,2788.0,2723.0,,2209.0,2018-11-28 18:58:52,,1800.0,,400.0,,4100.0,,,600.0,,400.0,1518964,2
14917.0,,,,17427.0,17427.0,,,,,,4698.0,,,,2066.0,2066.0,,,,,,2018-11-07 12:12:37,400.0,,,,,4500.0,,,,,,3233772,1
,,,,54304.0,54304.0,,,62895.0,,,,,,,4200.0,4500.0,,,11759.0,,,2018-10-19 19:50:37,,,,,,17200.0,,,1600.0,,,2161135,7
68593.0,,,,62854.0,62854.0,,,68758.0,,,12205.0,,,,4480.0,4480.0,,,12390.0,,,2018-11-30 08:49:32,1500.0,,,,,19600.0,,,1800.0,,,2437995,3
2329.0,,,,2306.0,2306.0,2337.0,2337.0,,,,1332.0,,,,401.0,581.0,2161.0,706.0,,,,2018-10-05 20:51:57,200.0,,,,,1300.0,,,,,,418571,1
12984.0,,,,7999.0,7999.0,,8396.0,,,,3867.0,,,,1279.0,1459.0,,2538.0,,,,2018-10-29 06:34:07,400.0,,,,,3300.0,,,,,,834227,1
2033.0,,,,2033.0,2033.0,1660.0,1748.0,,,,1700.0,,,,405.0,705.0,1481.0,525.0,,,,2018-11-29 07:36:03,200.0,,,,,1300.0,,,,,,1806518,4
6272.0,,,6939.0,6057.0,6057.0,,5955.0,,,,2065.0,,,1769.0,695.0,935.0,,1801.0,,,,2018-11-24 10:00:02,200.0,,,300.0,,2200.0,,,,,,3394028,2
1818.0,,,,,,1087.0,,,,,1848.0,,,,,,958.0,,,,,2018-10-05 11:45:07,200.0,,,,,,,,,,,396825,5
12633.0,,9780.0,,10237.0,10237.0,,7356.0,,,,4823.0,,3206.0,,1568.0,1748.0,,2222.0,,,,2018-11-17 10:38:19,400.0,,500.0,,,3000.0,,,,,,2882200,1
25046.0,,,,22883.0,22883.0,,,,,,4343.0,,,,1384.0,1564.0,,,,,,2018-10-06 06:22:13,700.0,,,,,5300.0,,,,,,2892081,1
,,,27859.0,1.0,1.0,,,,,,,,,3591.0,1.0,180.0,,,,,,2018-10-24 14:38:54,,,,600.0,,8900.0,,,,,,966648,2
56807.0,,,,50002.0,50002.0,,,58107.0,,,9519.0,,,,7651.0,7891.0,,,8673.0,,,2018-10-03 09:37:20,,,,,,18600.0,,,,,,1612201,7
1534.0,,,,1285.0,,809.0,809.0,,,,1317.0,,,,281.0,,720.0,242.0,,,,2018-10-21 08:01:28,500.0,,,,,,,,,,,2680495,5
,,,18614.0,16022.0,16022.0,,,17110.0,,19442.0,,,,5210.0,1906.0,2146.0,,,4729.0,,4018.0,2018-10-28 11:13:48,,,,500.0,,4300.0,,,900.0,,500.0,639731,9
20366.0,,24491.0,,24500.0,24500.0,,,24442.0,,,5371.0,,5095.0,,2229.0,2409.0,,,5549.0,,,2018-10-17 12:10:14,600.0,,700.0,,,5200.0,,,700.0,,,241936,11
1869.0,,,1950.0,2119.0,2119.0,1755.0,1863.0,,,,1353.0,,,1216.0,539.0,779.0,1592.0,560.0,,,,2018-10-03 13:33:53,200.0,,,300.0,,1300.0,,,,,,1559562,2
7373.0,,,9002.0,8316.0,8316.0,,6386.0,,,,3731.0,,,2430.0,1197.0,1317.0,,1929.0,,,,2018-10-05 15:54:03,400.0,,,400.0,,2700.0,,,,,,385410,2
,,13795.0,14769.0,17173.0,17173.0,,,14066.0,,,,,3774.0,3041.0,1485.0,1665.0,,,4397.0,,,2018-11-08 19:42:42,,,600.0,500.0,,4700.0,,,800.0,,,1063263,2
,18332.0,,18354.0,19582.0,19582.0,,,18734.0,,18571.0,,3001.0,,4271.0,1796.0,1976.0,,,3815.0,,3203.0,2018-10-23 11:58:47,,1800.0,,500.0,,4000.0,,,700.0,,500.0,1667869,10
1178.0,,,,,,1026.0,,,,,1241.0,,,,,,958.0,,,,,2018-10-21 17:49:01,200.0,,,,,,,,,,,2732474,5
11181.0,,,8247.0,6391.0,6391.0,,6333.0,,,,4539.0,,,3425.0,1296.0,1536.0,,1914.0,,,,2018-10-06 18:13:43,400.0,,,300.0,,2400.0,,,,,,2910202,2
,,,5763.0,5335.0,5335.0,4025.0,4729.0,7568.0,,,,,,1949.0,1211.0,1391.0,3695.0,1423.0,2518.0,,,2018-10-11 10:40:11,,,,300.0,,1700.0,,,500.0,,,1971099,2
5984.0,,,5889.0,5846.0,5846.0,4380.0,,,,,2450.0,,,2032.0,791.0,1091.0,3937.0,,,,,2018-10-27 09:59:08,200.0,,,300.0,,1600.0,,,,,,1480485,2
20463.0,,18239.0,,16361.0,16361.0,,,18246.0,19162.0,,6611.0,,4439.0,,2314.0,2494.0,,,5012.0,4927.0,,2018-11-21 13:38:10,500.0,,600.0,,,4200.0,,,800.0,1900.0,,3167983,7
,21837.0,,,18995.0,18995.0,,,22091.0,,,,3521.0,,,3889.0,4069.0,,,5698.0,,,2018-11-22 09:44:04,,2300.0,,,,6700.0,,,2400.0,,,1238255,10
,,,,819.0,,690.0,761.0,,,,,,,,260.0,,590.0,229.0,,,,2018-10-30 14:07:32,,,,,,,,,,,,2797634,5
,,,,2111.0,,861.0,871.0,,,,,,,,310.0,,767.0,262.0,,,,2018-11-18 11:33:58,,,,,,,,,,,,2101109,5
,,,22094.0,23244.0,23244.0,,,,,,,,,3104.0,4248.0,4248.0,,,,,,2018-11-12 08:32:40,,,,500.0,,9000.0,,,,,,997496,2
2230.0,,,,3551.0,3551.0,2361.0,2786.0,,,,1419.0,,,,794.0,794.0,2089.0,840.0,,,,2018-10-08 07:43:42,200.0,,,,,1300.0,,,,,,132897,1
,,,32350.0,29944.0,29944.0,,,31755.0,,31675.0,,,,3928.0,3396.0,3696.0,,,4540.0,,3924.0,2018-10-13 19:17:33,,,,600.0,,8700.0,,,800.0,,600.0,2275647,2
12839.0,,,,14700.0,14700.0,,,,,,4928.0,,,,3717.0,3957.0,,,,,,2018-11-03 09:57:03,400.0,,,,,4900.0,,,,,,1884480,1
6345.0,,,7832.0,6173.0,6173.0,,6182.0,,,,2406.0,,,2182.0,915.0,1035.0,,1870.0,,,,2018-10-07 11:55:28,200.0,,,400.0,,2500.0,,,,,,2497847,2
17603.0,,,,20071.0,20071.0,,,,,19130.0,5664.0,,,,2798.0,3098.0,,,,,3169.0,2018-11-12 11:17:04,500.0,,,,,4800.0,,,,,500.0,1013649,1
76361.0,,79792.0,,70424.0,70424.0,,,79792.0,,,11693.0,,10692.0,,3716.0,3836.0,,,10893.0,,,2018-11-01 08:17:10,1600.0,,1300.0,,,20600.0,,,1300.0,,,2619912,7
,,20186.0,,21177.0,21177.0,,,20160.0,,,,,4134.0,,1263.0,1563.0,,,4693.0,,,2018-11-02 23:03:08,,,700.0,,,5500.0,,,700.0,,,2975778,3
3490.0,,,,3571.0,3571.0,3006.0,3364.0,,,,2278.0,,,,680.0,980.0,2681.0,1015.0,,,,2018-10-20 16:15:20,200.0,,,,,1300.0,,,,,,168093,1
,22152.0,,21567.0,1.0,1.0,,,17129.0,,,,3736.0,,4056.0,1.0,120.0,,,4101.0,,,2018-10-20 09:25:24,,2500.0,,500.0,,5300.0,,,600.0,,,174438,2
,,,,21871.0,21871.0,,,20853.0,,,,,,,3503.0,3803.0,,,4957.0,,,2018-11-21 08:57:35,,,,,,8000.0,,,700.0,,,3156372,7
,,,,2592.0,,826.0,1129.0,,,,,,,,717.0,,725.0,339.0,,,,2018-10-20 07:37:17,,,,,,,,,,,,176397,5
97406.0,,,,95379.0,,,,,,,12647.0,,,,7128.0,,,,,,,2018-10-01 15:04:28,2100.0,,,,,,,,,,,720977,1
,,,23262.0,29779.0,29779.0,,,24437.0,,24441.0,,,,3757.0,3976.0,4156.0,,,4486.0,,3943.0,2018-11-01 17:49:13,,,,600.0,,9000.0,,,800.0,,600.0,2605714,2
,,,,,,10.0,10.0,,,,,,,,,,8.0,3.0,,,,2018-10-14 18:48:09,,,,,,,,,,,,1981937,5
,15149.0,,12107.0,,14465.0,,,10587.0,,,,2276.0,,2283.0,,2118.0,,,2396.0,,,2018-11-09 09:34:20,,1800.0,,400.0,,4200.0,,,600.0,,,472464,2
